dataset,accuracy,precision,recall,f1
DataCo,0.974434965654775,0.9554954867982816,0.9999494847443928,0.977217189544097
SCMS,,,,
DataCo+SCMS,0.9788666075781077,0.9635185816570064,0.9992927864214993,0.981079673667766
