model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9695878573011301,0.9510759432596738,0.9957567185289957,0.9729036079166873,0.9746710598212139
Random Forest,0.9791712829603368,0.9636283961437335,0.999747423721964,0.9813556800714037,0.9909947357081972
XGBoost,0.9789497008641702,0.9636142230881637,0.9993433016771065,0.9811535981748748,0.9911817982717316
